R   5A1 5B1 6B1 5B2 6B2 5A2 6A2
3.77	105575.721	105523.6441	105702.1867	105523.6594	105702.1954	105582.3842	105983.597
3.82	105578.076	105526.0912	105703.2423	105526.1066	105703.2489	105584.6821	105982.3416
3.88	105580.3453	105528.4923	105703.8349	105528.5076	105703.8415	105586.8857	105979.7957
3.94	105582.0506	105530.3446	105703.7405	105530.36	105703.7471	105588.5186	105976.1217
4	105583.238	105531.6988	105703.0163	105531.7141	105703.0229	105589.6335	105971.3218
4.06	105583.9469	105532.5986	105701.7126	105532.6118	105701.7192	105590.2678	105965.3938
4.12	105584.2234	105533.0837	105699.88	105533.0968	105699.8866	105590.4697	105958.3289
4.19	105584.061	105533.189	105697.1409	105533.2044	105697.1475	105590.2173	105948.6523
4.26	105583.4311	105532.8598	105693.8159	105532.8752	105693.8203	105589.4952	105937.413
4.33	105582.3952	105532.1575	105689.9663	105532.1728	105689.9751	105588.3649	105924.6396
4.4	105581.0038	105531.1369	105685.6558	105531.1501	105685.6646	105586.8769	105910.3957
4.48	105579.046	105529.6467	105680.237	105529.6621	105680.2458	105584.8029	105892.4624
4.55	105577.0598	105528.1126	105675.1123	105528.1257	105675.1211	105582.7091	105875.5146
4.64	105574.1869	105525.8893	105668.0649	105525.9025	105668.0715	105579.6935	105852.3732
4.72	105571.3908	105523.7318	105661.4961	105523.745	105661.5027	105576.7547	105830.9766
4.81	105568.0174	105521.164	105653.6981	105521.1794	105653.7069	105573.2146	105806.3998
4.9	105564.451	105518.4908	105645.5973	105518.5062	105645.6061	105569.4638	105781.8428
5	105560.3095	105515.462	105636.307	105515.4752	105636.3179	105565.1028	105755.1196
5.1	105556.0231	105512.4201	105626.7818	105512.4355	105626.7927	105560.5707	105729.3708
5.21	105551.1793	105509.1148	105616.1197	105509.128	105616.1307	105555.4372	105702.6695
5.33	105545.7803	105505.601	105604.3668	105505.6142	105604.38	105549.6957	105675.6697
5.45	105540.3132	105502.2255	105592.6052	105502.2387	105592.6205	105543.8577	105651.014
5.58	105534.3456	105498.7578	105580.0139	105498.771	105580.0315	105537.4819	105626.9573
5.75	105526.5718	105494.5549	105564.0757	105494.5659	105564.091	105529.1726	105600.9913
5.86	105521.6271	105492.0507	105554.2542	105492.0639	105554.2717	105523.9074	105585.2989
6.02	105514.6566	105488.7059	105540.875	105488.7191	105540.897	105516.555	105565.2499
6.2	105507.2625	105485.3655	105527.329	105485.3787	105527.351	105508.7878	105546.2697
6.39	105500.1252	105482.2928	105514.876	105482.306	105514.898	105501.3235	105529.7718
6.6	105493.1568	105479.4024	105503.29	105479.4155	105503.3119	105494.0677	105515.0714
6.83	105486.6779	105476.7752	105492.9944	105476.7862	105493.0164	105487.3517	105502.445
7.1	105480.5436	105474.3062	105483.6448	105474.3193	105483.6689	105481.0133	105491.2737
7.31	105476.7511	105472.7698	105478.0614	105472.7786	105478.0855	105477.1045	105484.7093
7.77	105470.8385	105470.2305	105469.7411	105470.2415	105469.7652	105471.0338	105474.969
8.22	105467.362	105468.1192	105465.5864	105468.1301	105465.6106	105467.4717	105469.5172
8.79	105464.9039	105465.525	105463.7911	105465.5381	105463.7999	105464.8709	105466.0056
9.6	105463.4444	105463.6419	105463.0954	105463.6529	105463.0998	105463.4356	105463.7736
11	105462.8167	105462.832	105462.7903	105462.8408	105462.7969	105462.8211	105462.8474
28	105462.7596	105462.7574	105462.7662	105462.764	105462.7728	105462.7662	105462.7596
100	105462.7596	105462.7596	105462.7596	105462.7596	105462.7596	105462.7596	105462.7596
