R	0	1	2	22	11
1.6933664	111552.0629256	111768.7063329	111552.0629256	112194.9699593	113555.8004551
1.7992018	109811.2560028	109911.6875935	109779.2346543	109921.5639519	110035.6468646
1.8521195	109223.8760506	109450.3519213	109196.2222472	109652.8392149	109655.4729105
1.9579549	108403.6554633	108614.9656371	108389.2798751	109269.3950888	109274.0040561
2.0637903	107904.0653631	108026.8175236	107904.0873105	108427.7537777	108483.939283
2.1696257	107599.2589969	107631.1486607	107599.2809444	107842.7002565	108012.4419354
2.2225434	107493.6697524	107512.4128858	107493.7136474	107704.8921363	107894.2328996
2.3283788	107340.6739878	107348.9701289	107340.7178828	107557.2296053	107704.1239751
2.3812965	107282.7107381	107292.1481472	107282.754633	107519.2385468	107504.2703771
2.4871319	107185.8346364	107214.3882857	107185.9004788	107484.1445535	107231.748729
2.5400496	107144.9465128	107142.6859241	107145.0343027	107455.9859584	107190.2680239
2.5929673	107110.4231535	107076.6240605	107110.5109434	107419.2678529	107174.2244285
2.645885	107083.2521943	107028.7346962	107083.3619316	107398.5494478	107164.9845465
2.6988027	107063.56532	106995.0892355	107063.6750573	107388.651142	107161.3412677
2.7517204	107050.6602118	106972.5272435	107050.7699491	107386.0832888	107162.1533238
2.8046381	107043.5272863	106958.5247621	107043.6370236	107388.4755623	107166.4330791
2.8575558	107041.0691704	106951.0845721	107041.1789077	107394.1819026	107173.2806875
2.9104735	107042.2762809	106948.6045088	107042.3860182	107402.0829893	107181.9718829
3.0692266	107059.6586716	106959.6440827	107059.7684089	107431.3828524	107213.6640195
3.175062	107076.9752199	106974.9853594	107077.0849572	107451.1794641	107235.7212198
3.2808974	107095.4988787	106992.5433298	107095.5866685	107468.9349616	107256.4835198
3.3867328	107113.5835882	107010.3866172	107113.671378	107483.7056042	107275.0730209
3.4396505	107122.2089411	107019.0558651	107122.296731	107489.8069989	107283.4350043
3.5984036	107145.4513045	107043.1541794	107145.5171469	107502.9096343	107304.2850942
3.704239	107158.5539399	107057.2883456	107158.6197823	107507.2332846	107314.7320866
3.8100744	107169.7251985	107069.7983995	107169.7910409	107508.155078	107322.4575936
3.9159098	107178.9650805	107080.7501835	107179.0309228	107505.8944893	107327.5713524
4.0217452	107186.4272179	107090.253435	107186.4930603	107500.714888	107330.0953107
4.233416	107196.2596813	107105.5288693	107196.3035762	107482.7179684	107327.264088
4.3392514	107198.7616921	107111.6083165	107198.805587	107470.6249163	107321.579695
4.4450868	107199.6395906	107116.8537602	107199.6834855	107443.212535	107312.5592877
4.5509222	107198.8275345	107121.3749376	107198.8494819	107396.0913319	107299.7419694
4.6567576	107196.2377338	107125.3035334	107196.2596813	107350.2869767	107282.9521602
4.762593	107191.7385039	107128.7273377	107191.7385039	107306.9187898	107262.3873873
4.8684284	107185.2420549	107131.7121926	107185.2420549	107266.7768799	107238.9255494
4.9742638	107176.7703342	107134.3678356	107176.7483867	107230.1904591	107213.927389
5.0800992	107166.476974	107136.7162142	107166.4550265	107197.3131595	107188.9511761
5.1859346	107148.699529	107149.5774275	107154.7789763	107166.3013943	107157.7857787
5.2388523	107145.1001451	107145.5390943	107148.6117391	107154.340027	107149.7530072
5.3976054	107121.1774104	107123.2404719	107129.7588684	107129.8247108	107142.2908698
5.5034408	107103.0488059	107106.4067678	107117.8194486	107117.8633435	107143.7613498
5.6092762	107088.2781634	107092.4262339	107107.0212968	107107.0871391	107145.0781976
5.7151116	107076.6899029	107081.2330277	107097.8033623	107097.8692047	107146.2633606
5.820947	107067.9767601	107072.7393596	107090.4070673	107090.4729097	107147.2948913
5.9267824	107062.0070501	107066.8135445	107084.942149	107085.0079914	107148.1947373
6.0326178	107058.4735086	107063.2141606	107081.38666	107081.4305549	107148.984846
6.1384532	107057.0908184	107061.6997857	107079.6308629	107079.6747578	107149.6871648
6.2442886	107057.5736626	107062.0070501	107079.4991782	107079.5650205	107150.2797463
6.350124	107059.6586716	107063.894532	107080.7940785	107080.8599209	107150.8064854
6.4559594	107063.0824758	107067.0769141	107083.2521943	107083.2960892	107151.2454347
6.5617948	107067.5378108	107071.2688795	107086.6321036	107086.6759986	107151.6185416
6.6676302	107072.8052019	107076.2509536	107090.6704368	107090.7362792	107151.9477535
6.7734656	107078.6651745	107081.7817143	107095.1916142	107095.2355091	107152.2111231
6.879301	107084.8763066	107087.6636344	107099.9542137	107099.9981086	107152.4305977
6.9851364	107091.2849658	107093.6991867	107104.804603	107104.8484979	107152.6281249
7.0909718	107097.7375199	107099.7566865	107109.5891499	107109.6549923	107152.7817571
7.1968072	107104.1022842	107105.704449	107114.2420121	107114.3078545	107152.9134419
7.3026426	107110.2695213	107111.4546843	107118.6753996	107118.7192945	107153.0231792
7.4613957	107118.9607166	107119.5094032	107124.7548469	107124.7987418	107153.154864
7.6730665	107129.2760242	107128.9907072	107131.7121926	107131.7560876	107153.2865488
7.937655	107138.6256435	107138.603696	107138.5598011	107139.8547014	107153.3743386
8.466832	107147.1632066	107151.069855	107147.1193117	107153.7035506	107153.5060234
8.996009	107151.1795923	107153.5938132	107151.1137499	107160.4633692	107157.0615124
9.525186	107152.825652	107153.6377082	107152.7817571	107163.2726444	107159.5635232
10.054363	107153.440181	107153.6816031	107153.3962861	107164.3261226	107160.5072641
10.58354	107153.6596556	107153.7035506	107153.6157607	107164.6772821	107160.8145286
11.112717	107153.725498	107153.7035506	107153.6816031	107164.8089668	107160.9242659
11.641894	107153.7474455	107153.725498	107153.7035506	107164.8528618	107160.9681608
12.171071	107153.769393	107153.725498	107153.725498	107164.8528618	107160.9681608
